sku_id,dt,page_price,discount_price,is_promotion
528619,2024-08-07,95.0,95.0,0
1038234,2024-08-07,23.9,23.9,0
100000671427,2024-08-07,90.9,90.9,0
100017084069,2024-08-07,29.9,29.9,0
100026719206,2024-08-07,29.9,29.9,0
10061685991750,2024-08-07,47.88,47.88,0
5840837,2024-08-09,34.9,34.9,0
100018842722,2024-08-09,99.8,99.8,0
290461,2024-08-08,22.9,22.9,0
411164,2024-08-08,14.9,14.9,0
100015189638,2024-08-08,59.9,59.9,0
100018973436,2024-08-08,19.9,19.9,0
879386,2024-08-10,15.5,15.5,0
100007310036,2024-08-10,79.9,79.9,0
100010577141,2024-08-10,73.8,73.8,0
100011433086,2024-08-10,119.0,119.0,0
100011698820,2024-08-10,34.9,34.9,0
100020638562,2024-08-10,79.9,79.9,0
100032140543,2024-08-10,24.9,24.9,0
100034533525,2024-08-10,74.9,74.9,0
10037621290748,2024-08-10,59.0,59.0,0
909717,2024-08-11,12.9,12.9,0
1032854,2024-08-11,21.9,21.9,0
2646498,2024-08-11,139.9,139.9,0
3674839,2024-08-11,39.9,39.9,0
8209936,2024-08-11,36.9,36.9,0
100008366733,2024-08-11,49.8,49.8,0
100015344592,2024-08-11,99.9,99.9,0
100034243272,2024-08-11,69.0,69.0,0
231478,2024-08-09,33.9,33.9,0
290461,2024-08-09,22.9,22.9,0
5950572,2024-08-09,33.9,33.9,0
1032834,2024-08-12,28.4,28.4,0
1032854,2024-08-12,21.9,21.9,0
8421845,2024-08-12,36.0,36.0,0
100018842722,2024-08-12,99.8,99.8,0
100008366733,2024-08-09,49.8,49.8,0
100008766160,2024-08-09,86.9,86.9,0
100008959723,2024-08-09,59.8,59.8,0
100032140543,2024-08-09,24.9,19.92,1
100039735595,2024-08-09,131.8,131.8,0
1039867,2024-08-10,76.9,76.9,0
3674837,2024-08-10,32.9,32.9,0
100019498134,2024-08-10,49.9,49.9,0
100037338174,2024-08-10,59.9,59.9,0
1039867,2024-08-13,76.9,76.9,0
1540110,2024-08-13,11.9,11.9,0
1742027,2024-08-13,83.9,83.9,0
8209962,2024-08-13,45.0,45.0,0
845323,2024-08-01,16.9,16.9,0
100000318251,2024-08-01,79.9,79.9,0
100034533525,2024-08-01,124.8,124.8,0
100040684023,2024-08-01,86.9,86.9,0
100024851705,2024-08-13,44.9,44.9,0
100033331822,2024-08-13,30.9,30.9,0
206942,2024-08-02,13.8,13.8,0
290461,2024-08-02,22.9,22.9,0
4486428,2024-08-02,69.9,69.9,0
4535404,2024-08-02,89.9,89.9,0
100012797340,2024-08-02,74.9,74.9,0
100023527729,2024-08-02,45.8,45.8,0
362424,2024-08-11,60.0,60.0,0
8421837,2024-08-11,16.9,16.9,0
100003034205,2024-08-11,99.9,99.9,0
100026719206,2024-08-11,29.9,29.9,0
3674837,2024-08-03,32.9,32.9,0
5840837,2024-08-03,34.9,34.9,0
100009897581,2024-08-03,21.9,21.9,0
100012797322,2024-08-03,139.0,139.0,0
100032140543,2024-08-03,23.6,23.6,0
1529386,2024-08-12,11.5,11.5,0
3334330,2024-08-12,23.8,23.8,0
8307755,2024-08-12,67.3,67.3,0
100005873819,2024-08-12,82.0,82.0,0
100014256784,2024-08-12,54.9,54.9,0
100024864852,2024-08-12,69.9,69.9,0
100028415103,2024-08-12,66.7,66.7,0
231035,2024-08-14,16.9,16.9,0
8421837,2024-08-14,16.9,16.9,0
100000671417,2024-08-14,99.9,99.9,0
10066546386346,2024-08-14,118.8,118.8,0
5840837,2024-08-04,34.9,34.9,0
5851301,2024-08-04,79.0,79.0,0
100011423920,2024-08-04,45.9,45.9,0
100033331842,2024-08-04,24.9,24.9,0
909717,2024-08-15,12.9,12.9,0
4486466,2024-08-15,68.9,68.9,0
100006938017,2024-08-15,69.9,69.9,0
4486478,2024-08-13,16.56,16.56,0
6380571,2024-08-13,65.0,65.0,0
34294684846,2024-08-13,69.9,69.9,0
100012242858,2024-08-13,59.9,59.9,0
100018704177,2024-08-13,37.3,37.3,0
100019787561,2024-08-13,31.9,31.9,0
100032140543,2024-08-15,24.9,24.9,0
100035403264,2024-08-15,3.8,3.8,0
100037438244,2024-08-15,149.9,149.9,0
100048469601,2024-08-15,49.9,49.9,0
100041650013,2024-08-13,80.9,80.9,0
6380589,2024-08-05,65.0,65.0,0
100008817605,2024-08-05,49.9,49.9,0
100018704177,2024-08-05,33.6,33.6,0
100041006407,2024-08-05,124.9,124.9,0
909718,2024-08-16,12.9,12.9,0
5851301,2024-08-16,79.9,79.9,0
8421845,2024-08-16,36.0,36.0,0
100001202539,2024-08-16,34.9,34.9,0
100014962868,2024-08-16,9.9,9.9,0
100018842722,2024-08-16,99.53,99.53,0
100033194536,2024-08-16,37.3,37.3,0
10066546386346,2024-08-16,118.8,118.8,0
206942,2024-08-17,12.8,12.8,0
1742027,2024-08-17,83.9,83.9,0
5851301,2024-08-17,79.9,79.9,0
100007310036,2024-08-17,79.9,79.9,0
100009388168,2024-08-17,52.0,52.0,0
100015645334,2024-08-17,46.9,46.9,0
