dt,sku_id,year,month,day,weekday,quarter,is_weekend,is_month_start,is_promotion_period,is_double_12,is_before_promotion,is_after_promotion,discount_price_change,discount_price_change_pct,discount_price_change_abs,discount_price_mean_7,discount_price_std_7,discount_price_min_7,discount_price_max_7,discount_price_trend_7,discount_price_lag_1,discount_price_lag_3,discount_price_lag_7,discount_price_lag_14,discount_price_lag_30,discount_price_change_lag_1,discount_price_change_lag_3,discount_price_change_lag_7,discount_price_change_lag_14,discount_price_change_lag_30,discount_price_promo_interaction,promo_freq_7,promo_freq_30,trend,yearly,weekly,yhat,yhat_lower,yhat_upper,yhat_diff
2025-05-01,5840837,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,31.496109999999998,2.3833687487671726,26.36277,32.9,0,32.9,32.9,32.9,32.9,32.9,0,0,0,0,0,0,0,0,38.67888945122401,-1.9663828719144003,0.2736594445328536,0,0,0,0
2025-05-01,5851301,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,79.77142857142857,0.31493439550069624,79.0,79.9,0,79.9,79.9,79.0,79.0,79.0,0,0,0,0,0,0,0,0,80.43001726220987,1.7741247369332631,-1.0332006468100208,0,0,0,0
2025-05-01,5915642,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,28.637551020408164,2.137178968685103,24.052857142857142,29.9,0,29.9,29.9,29.9,29.9,29.9,0,0,0,0,0,0,0,0,40.0994811906328,-4.748879611226205,0.7520188866272592,0,0,0,0
2025-05-01,5950572,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,33.9,0.0,33.9,33.9,0,33.9,33.9,33.9,33.9,33.9,0,0,0,0,0,0,0,0,33.929943948014056,0.8050995174256306,-0.2562418958905115,0,0,0,0
2025-05-01,6380569,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,80.14285714285714,4.206409104095845,76.5,85.0,0,85.0,76.5,85.0,85.0,85.0,0,0,0,0,0,0,0,0,75.36745113412216,4.356637661084424,0.1570543124787771,0,0,0,0
2025-05-01,6380571,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,78.92857142857143,3.8399085873473178,76.5,85.0,0,85.0,76.5,85.0,85.0,85.0,0,0,0,0,0,0,0,0,79.45721606945068,2.557298976783388,0.234033046426427,0,0,0,0
2025-05-01,6380589,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,77.71428571428571,2.974380401951002,76.5,85.0,0,76.5,76.5,85.0,85.0,85.0,0,0,0,0,0,0,0,0,75.2877236521369,4.213261842250484,0.0854084425618228,0,0,0,0
2025-05-01,6864556,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,99.89999999999999,1.4210854715202004e-14,99.9,99.9,0,99.9,99.9,99.9,99.9,99.9,0,0,0,0,0,0,0,0,91.72122513665332,-1.9487799576928784,-0.5997202015565729,0,0,0,0
2025-05-01,6930866,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,81.89999999999999,1.4210854715202004e-14,81.9,81.9,0,81.9,81.9,81.9,81.9,81.9,0,0,0,0,0,0,0,0,97.3138452026134,5.555619513839183,0.4211215056861189,0,0,0,0
2025-05-01,7434016,2025,5,1,3,2,0,1,1,0,0,0,0,0,0,37.042857142857144,4.5175395145262565,29.9,39.9,0,39.9,29.9,39.9,39.9,39.9,0,0,0,0,0,0,0,0,38.77256068152575,2.0227120156798333,-0.6767945479990742,0,0,0,0
